RECTYPE,LEA,ESTAB,URN,SCHNAME,ICLOSE,NFTYPE,TPUP,ATT8SCR,P8PUP,TP8ADJ,P8MEA,P8CILOW,P8CIUPP,P8MEA_ORIG,P8CILOW_ORIG,P8CIUPP_ORIG,PTL2BASICS_94,PTL2BASICS_95,EBACCAPS,PTEBACC_E_PTQ_EE,PTEBACC_94,PTEBACC_95,PT5EM_94,P8_BANDING
1,815,6035,121749,Queen Margaret's School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,6000,121725,Queen Mary's School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,6019,121748,Read School,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4076,145090,Richmond School,0,ACC,247,45,239,0,0.05,-0.11,0.21,0.05,-0.12,0.22,62.3%,35.6%,3.8,40.9%,27.1%,17.8%,57.9%,3
1,815,4215,121694,Ripon Grammar School,0,CY,133,72.4,119,0,0.92,0.69,1.15,0.92,0.69,1.16,100.0%,98.5%,6.91,88.0%,70.7%,62.4%,100.0%,1
1,815,4004,121663,Risedale Sports and Community College,0,CY,84,38.3,80,1,-0.22,-0.5,0.06,-0.25,-0.54,0.04,50.0%,29.8%,3.28,40.5%,14.3%,6.0%,40.5%,3
1,815,4217,136896,Rossett School,0,ACC,269,50.8,257,2,0.07,-0.08,0.23,0.07,-0.09,0.23,72.5%,47.6%,4.71,72.5%,48.3%,29.7%,69.1%,3
1,815,4022,121665,Ryedale School,0,CY,130,52.3,127,1,0.51,0.29,0.74,0.51,0.29,0.74,71.5%,51.5%,4.73,43.1%,29.2%,20.0%,67.7%,1
1,815,4611,137139,St Aidan's Church of England High School,0,ACC,247,57.4,228,3,0.48,0.31,0.65,0.46,0.29,0.63,83.4%,59.5%,5.35,69.6%,52.6%,38.9%,80.6%,2
1,815,4604,121714,"St Augustine's Roman Catholic School, Scarborough",0,VA,116,47.7,113,0,0.1,-0.14,0.33,0.1,-0.14,0.34,70.7%,45.7%,4.07,20.7%,15.5%,8.6%,62.1%,3
1,815,4605,121715,St Francis Xavier School,0,VA,91,58.6,87,0,0.54,0.27,0.81,0.54,0.27,0.82,85.7%,61.5%,5.4,69.2%,47.3%,37.4%,82.4%,1
1,815,4609,121717,St John Fisher Catholic High School,0,VA,202,57.6,196,0,0.43,0.25,0.61,0.43,0.25,0.62,85.6%,62.9%,5.39,78.2%,56.4%,37.6%,81.7%,2
1,815,4073,143288,Scalby School,0,ACC,167,50,164,1,0.46,0.27,0.66,0.46,0.26,0.66,71.3%,53.9%,4.57,53.9%,41.3%,36.5%,66.5%,2
1,815,6002,121730,Scarborough College,0,IND,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,815,4002,142884,Scarborough University Technical College,0,UTC,74,36.6,71,0,-0.86,-1.16,-0.56,-0.86,-1.16,-0.56,56.8%,31.1%,2.88,0.0%,0.0%,0.0%,35.1%,SUPP
